RxNorm,ATC
11423,C05AX04
1144694,C05AX04
1144695,C05AX04
1146019,C05AX04
1146020,C05AX04
1150459,C05AX04
1150460,C05AX04
1150461,C05AX04
1150463,C05AX04
1191136,C05AX04
1191699,C05AX04
1191700,C05AX04
1232104,C05AX04
1233528,C05AX04
1233529,C05AX04
1233531,C05AX04
1236092,C05AX04
1242842,C05AX04
1242843,C05AX04
1242845,C05AX04
1243215,C05AX04
1243216,C05AX04
1243218,C05AX04
1244508,C05AX04
1244510,C05AX04
1244511,C05AX04
1244513,C05AX04
1246903,C05AX04
1246904,C05AX04
1246906,C05AX04
1249112,C05AX04
1249113,C05AX04
1249115,C05AX04
1249130,C05AX04
1249131,C05AX04
1252230,C05AX04
1291,C05AX04
1291465,C05AX04
1291466,C05AX04
1291468,C05AX04
1292314,C05AX04
1293082,C05AX04
1293083,C05AX04
1293944,C05AX04
1293945,C05AX04
1293946,C05AX04
1293951,C05AX04
1294011,C05AX04
1294013,C05AX04
1294042,C05AX04
1294046,C05AX04
1294330,C05AX04
1294331,C05AX04
1294332,C05AX04
1294359,C05AX04
1294360,C05AX04
1294362,C05AX04
1294444,C05AX04
1294445,C05AX04
1299024,C05AX04
1299025,C05AX04
1299027,C05AX04
1300883,C05AX04
1300884,C05AX04
1300886,C05AX04
1300888,C05AX04
1302173,C05AX04
1302174,C05AX04
1302176,C05AX04
1302265,C05AX04
1303317,C05AX04
1303318,C05AX04
1303319,C05AX04
1303321,C05AX04
1303323,C05AX04
1303327,C05AX04
1303328,C05AX04
1303330,C05AX04
1305129,C05AX04
1305336,C05AX04
1305337,C05AX04
1305547,C05AX04
1305638,C05AX04
1305640,C05AX04
1305734,C05AX04
1305735,C05AX04
1305763,C05AX04
1306112,C05AX04
1306166,C05AX04
1306194,C05AX04
1306351,C05AX04
1306886,C05AX04
1306911,C05AX04
1306913,C05AX04
1306914,C05AX04
1306916,C05AX04
1306923,C05AX04
1306925,C05AX04
1306927,C05AX04
1306929,C05AX04
1306930,C05AX04
1306932,C05AX04
