RxNorm,UMLS
1602568,C3540784
1602567,C3540784
1602561,C0020592
13982,C3653942
1798363,C3654040
569069,C3653822
1798360,C3654040
1798367,C3654040
1798366,C3654040
1798364,C3654040
318076,C3653914
316520,C0040615
312615,C3653774
312614,C3653774
312617,C3653774
1372538,C3653756
406017,C3653501
406016,C3653501
406015,C3653765
2099999,C3653501
1001001,C3653780
17354,C3653756
2099993,C3653767
1001002,C3653780
2099995,C3653501
1001004,C0030512
1001006,C0030512
364904,C0021081
364901,C0003299
539807,C3653799
539809,C3653799
539808,C3653799
364908,C3653285
998473,C3653762
998479,C3653741
581413,C3653840
581412,C3653840
250816,C3653741
2199392,C3653975
20861,C3653763
1550947,C3653284
1550946,C0018100
1550940,C0018100
1550943,C0018100
1550942,C0018100
966191,C0279175
966194,C0279175
152855,C0003299
152854,C3653762
860696,C3653789
578547,C3653564
1009259,C0003391
1009256,C0003391
1945037,C3653871
1945039,C3653871
198175,C0040125
391874,C3653594
391875,C0003299
391873,C3653594
2119813,C0471863
2119812,C0471863
2119814,C0471863
260852,C3654040
564557,C0021081
564559,C0021081
564558,C0021081
368139,C0003289
368138,C0003376
368134,C0001645
639888,C3653501
639887,C3653501
1086275,C3653774
1090518,C3653594
1090517,C3653594
1090511,C3653763
1090510,C3653763
1086278,C3540716
335529,C3653774
1439946,C3653284
1439948,C3653284
1046858,C3653495
1145988,C3653319
263034,C3539171
1039657,C3653944
1944788,C0018100
1039654,C3653944
1944786,C0018100
1944787,C0018100
1944785,C0018100
1944782,C0018100
1944781,C0018100
393449,C3653754
2107317,C0021081
2289027,C3653942
1654186,C3539173
1117345,C0003374
566951,C3653572
2289025,C3653756
566956,C3653572
566954,C3653572
1946782,C3653285
1369900,C3653284
375959,C3539177
393440,C3653706
858579,C3653553
834239,C0018100
582328,C0355614
1119399,C5401044
582329,C0355614
2056073,C3653660
1944628,C3542964
616739,C0013036
1865728,C3653750
584446,C3653752
2178760,C0002934
2001565,C3653564
2001564,C3653564
2001566,C3653564
1997508,C3653798
584443,C3653752
59203,C3653914
253172,C3653813
584442,C3653752
308050,C0040616
308051,C3653764
308052,C3653764
1044245,C3653848
834234,C0018100
1000868,C3540714
834235,C0018100
1000869,C3653720
198999,C3540023
803371,C0042742
198994,C0020592
198993,C0003138
2108241,C0013036
2099508,C3653707
2108243,C3653800
1942950,C3539171
1942954,C3539171
1942956,C3539171
1942959,C3539171
1666640,C3653823
799834,C3653756
799835,C3653756
799830,C5401044
799831,C0013036
799832,C0013036
799833,C3653756
332890,C3653595
1359010,C0003299
1359011,C0003299
371275,C3653763
250485,C0002772
250487,C0020592
250486,C0002772
2167149,C0021027
2374585,C3653704
2167146,C0021027
1437739,C0020592
901351,C3653798
1101534,C3653285
371273,C3653285
1941200,C3653933
1941201,C3653933
1014657,C3653285
1014653,C3653285
1996297,C0002934
1998623,C0002092
1996291,C0002934
854138,C0002772
808900,C3653319
1242002,C3653848
1242000,C3653285
1242001,C3653848
332237,C3653844
332239,C3653524
2172490,C3653285
2172491,C3653285
1942345,C3653798
370448,C3653798
1116981,C0002092
299081,C3540730
1297277,C0040615
33724,C3653766
1297278,C0040615
38609,C3653798
2373051,C3653336
2373058,C3653336
340032,C3653752
275891,C3653501
1866401,C3653798
346225,C3540732
346224,C3653676
1116639,C1704311
1116638,C1704311
1116635,C1704311
1116634,C1704311
1116637,C1704311
1116633,C1704311
1116632,C1704311
1038904,C3653755
1038906,C3653755
1038907,C3653755
800572,C3653767
800573,C3653767
800570,C3653767
800571,C3654018
1539190,C3653565
1863344,C3653767
2280740,C0042742
2280744,C0042742
2280745,C0042742
380857,C3653764
1012897,C0021081
1012894,C0021081
1012895,C0021081
1012892,C0021081
1012893,C0021081
1012890,C3653756
