RxNorm,UMLS
564027,C1596468
1487356,C3709426
1152107,C3206614
1441404,C3668777
1441407,C3668780
1441406,C3668779
996727,C2344468
1441400,C3668773
1441403,C3668776
596926,C1509241
596929,C1621163
596928,C1656295
996729,C2918967
996728,C0975852
1152109,C3206616
1152108,C3206615
575936,C1593639
1661432,C3887839
1661433,C4046700
1661434,C3831425
1661435,C4046699
1442172,C0063371
1661437,C4046697
1296065,C3466707
1182477,C3236312
1296067,C3466709
1296066,C3466708
1296060,C3466702
1182470,C3236305
1182471,C3236306
1652064,C4026296
375200,C1249305
1859168,C4293258
1153478,C3207960
1153479,C3207961
1153474,C3207956
1153475,C3207957
1153476,C3207958
1153472,C3207954
1153473,C3207955
1596107,C3865170
1163220,C3217535
2101072,C4734465
884739,C2726511
1596108,C3864328
346380,C1161326
643799,C1725338
1735330,C4080645
1735333,C4080647
1000500,C0994975
331696,C1127727
331697,C1127728
331694,C1127725
331695,C1127726
993804,C2917854
896148,C2727060
896149,C2731847
604651,C1636261
604650,C1653610
896146,C2722523
896147,C2731846
896140,C2719924
896141,C2731843
896142,C2722522
645566,C1720044
645567,C1719890
1855662,C3256869
664752,C1812855
1428039,C2743583
1043227,C2947998
1165458,C3219710
1007811,C2928726
575932,C1593635
76162,C0254617
1161373,C3215717
1161370,C3215714
1043224,C2947995
1655222,C4033474
1425117,C3644518
1655221,C4033386
1007814,C2928729
1161378,C3215722
1425116,C3644517
59082,C0163061
1185925,C0307495
1425118,C3644519
1185927,C3239694
371813,C1245855
36696,C0074744
1806697,C4282506
1545022,C3848966
1430169,C0692462
345896,C1153865
2275182,C5234104
2275183,C1828986
374554,C1248640
2275181,C4734276
374552,C1248638
374551,C1248637
1492751,C3819771
35215,C0072864
35216,C0072865
1492752,C3819969
1364993,C3530634
1364992,C3530633
1364991,C3530632
1364990,C3530631
616289,C1693644
616288,C1702439
616281,C1702438
616283,C1696145
616282,C1703855
616285,C1694802
616284,C1703856
616287,C1698426
616286,C1702967
1177251,C3231175
1945175,C4523031
1177257,C3231181
1535214,C0309393
1535215,C3818724
1535216,C0242522
1535217,C0040217
1535213,C3818725
206819,C0708003
